epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.36648,1.76041,3.65607,1.72957,0.00429,0.24572,0.02372,0.00614,2.41788,4.09371,2.87031,0.0801,0.0001,0.0001
2,7.40435,1.66665,2.64764,1.64811,0.01192,0.24809,0.02299,0.00633,2.67985,4.11825,3.08893,0.0592021,0.000202101,0.000202101
3,10.3695,1.63435,2.24919,1.61267,0.62479,0.02439,0.07316,0.03101,2.2209,3.68788,2.41571,0.0383012,0.000301231,0.000301231
4,13.2534,1.59595,1.97579,1.57465,0.43036,0.22442,0.22525,0.10011,1.98274,2.73261,2.08125,0.0173974,0.000397392,0.000397392
5,16.0295,1.58608,1.83356,1.57619,0.56122,0.33054,0.30621,0.14421,1.78978,2.3348,1.85786,0.000471714,0.000471714,0.000471714
6,18.7634,1.61929,1.81497,1.59016,0.47353,0.37408,0.26864,0.12023,1.78082,2.41776,1.84623,0.000464643,0.000464643,0.000464643
7,21.4305,1.51863,1.72762,1.53756,0.30345,0.37428,0.30797,0.1446,1.75635,2.43492,1.83924,0.000457571,0.000457571,0.000457571
8,24.2721,1.53827,1.67797,1.53718,0.56096,0.39223,0.37328,0.18642,1.70849,2.35545,1.78335,0.0004505,0.0004505,0.0004505
9,27.0054,1.5093,1.60047,1.50726,0.64736,0.37485,0.3986,0.19779,1.75333,1.94472,1.81712,0.000443429,0.000443429,0.000443429
10,29.8771,1.48737,1.5639,1.51323,0.64034,0.37702,0.38057,0.1837,1.80696,2.01611,1.84355,0.000436357,0.000436357,0.000436357
11,32.5399,1.48682,1.50747,1.48065,0.65814,0.40114,0.43731,0.23024,1.681,1.84972,1.79188,0.000429286,0.000429286,0.000429286
12,35.2269,1.45359,1.5036,1.46651,0.73959,0.39061,0.45978,0.23993,1.68793,1.72158,1.76297,0.000422214,0.000422214,0.000422214
